ID:1,ID:2,ID:3,TR:HepG2:CellLine,TR:NOCYTO,TR:TGFa,TR:IL1a,TR:IGF1,TR:IL6,TR:NOINHIB,TR:MEK12i,TR:P38i,TR:PI3Ki,TR:IKKi,TR:EGFRi-Gefin,DA:AKT (75),DA:ERK12 (38),DA:GSK3 (18),DA:Ikb (58),DA:JNK12 (34),DA:p38 (36),DA:p70S6 (55),DA:p90RSK (35),DA:STAT3 (52),DA:cJUN (56),DA:CREB (19),DA:HSP27 (51),DA:IRS1s (76),DA:MEK12 (40),DA:p53 (53),DV:AKT (75),DV:ERK12 (38),DV:GSK3 (18),DV:Ikb (58),DV:JNK12 (34),DV:p38 (36),DV:p70S6 (55),DV:p90RSK (35),DV:STAT3 (52),DV:cJUN (56),DV:CREB (19),DV:HSP27 (51),DV:IRS1s (76),DV:MEK12 (40),DV:p53 (53)
X74,B10,PL2_30min_X74_10B_TGFa_MEK_p38,1,,1,,,,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23173,156,1759,182,132.5,50,2138,239,245,3481,110.5,238.5,868,10212,498
X75,C10,PL2_30min_X75_10C_IL1a_MEK_p38,1,,,1,,,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5488.5,165.5,1089.5,3306,1519,763.5,12484,224,129.5,11507,1138,800.5,6027.5,6261,1045
X76,D10,PL2_30min_X76_10D_IGF_MEK_p38,1,,,,1,,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16332,156,1991,182,109,34,1889,225,259,1958,102.5,211,876,2642,520
X77,E10,PL2_30min_X77_10E_IL6_MEK_p38,1,,,,,1,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,8918.5,159.5,1024,185.5,137,57,1040,200.5,14858,2518.5,122,306,741,4374,474.5
X78,F10,PL2_30min_X78_10F_IGF_TGF_MEK_p38,1,,1,,1,,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,25452,270,3264,227,179.5,75,4626.5,248.5,269,6211.5,156,262,1164.5,14758,547.5
X79,G10,PL2_30min_X79_10G_IL6_IL1a_MEK_p38,1,,,1,,1,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,11887.5,213,1004,4406,2475.5,1351,14533.5,225,14020,15298,1547,955,6663,10493,1345
X80,H10,PL2_30min_X80_10H_DME_MEK_p38,1,1,,,,,,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3268,144,655.5,174,118.5,43,756.5,198.5,269,2757,100,289,617,1959,565
X81,A11,PL2_30min_X81_11A_DME_p38_IKK,1,1,,,,,,,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,540,933,104.5,123,38,1514.5,580,335,1577.5,116,225.5,852,2658.5,571
X82,B11,PL2_30min_X82_11B_TGFa_p38_IKK,1,,1,,,,,,1,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3028,2867.5,2111.5,124,162.5,90.5,10165,2106,264,4054,497,256,3824,5708,927.5
X83,C11,PL2_30min_X83_11C_IL1a_p38_IKK,1,,,1,,,,,1,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1430,546.5,878.5,275,1039,1001.5,8826,593,169,7692,946,468.5,4572.5,2371,976
